number,short_description,kb_category,meta
KB0014935,Exchange on iPhone,Exchange,"KCS, exchange_iphone, exchange issues, cannot access exchange email via iPhone, exchange not working, can't get exchange email, exchange_email_iphone, "
KB0015175,Unable to Use Camtasia for Mac,Software,"camtasia, camtasia_mac, camtasia_for_mac, mac_camtasia, unable_to_download_camtasia, camtasia_login, camtasia_download, use_camtasia"
KB0016562,Camtasia License ,Software,"KCS, camtasia, license, software, expire, end, ends, expires, licenses, computer, when, "
KB0014675,TAMUCT - Connect to WiFi,TAMUCT,"KCS, tamuct wifi, wifi tamuct, tamuct edurom, eduroam, eduroam tamuct, tamuct internet, connect to internet tamuct, "
KB0017414,"Exam Completed after clicking on ""Allow Flash""",eCampus,"KCS, exam, completed, flash, allow, flash, enable, pop-up, ecampus, page, refreshed"
KB0016756,TamuCT - Faculty Account Locked,TAMUCT,"KCS, TamuCT Faculty account, TamuCt faculty, Tamuct, Tamuct account locked, "
KB0016628,AggieWorks - Maintenance Request ,General,"KCS, dorm maintenance, aggie works, aggieworks, dorm outage"
KB0016617,Email with Confidental Information,Exchange,"KCS, email, confidential, private, information, exchange, gmail, tamu, data, loss, prevention, ssn, social, security, encrypt, attachment, "
KB0016917,Finding MAC Addresses on USB to Ethernet Adapters,Resnet,"KCS, usb, ethernet, mac, address, find, locate, resnet, mac, windows, adapter, "
KB0016944,Resending EndNote Software,Software,"KCS, endnote, 18, 19, x, older, version, end, note, product, key, resend, software, purchase, new, newer, send, "
KB0017736,Google Sites - Migrating from Personal to TAMU,Other Tech Support,"KCS, personal google site, personal google sites, google sites, site, website, google website, google websites"
KB0014815,Outlook Disconnecting When I go to Different Places,"Email, Calendar, and Collaboration","KCS, outlook_disconnecting, outlook_disconnecting_when_moving, outlook_signing_out, outlook_signing_out_when_moving, outlook_signing_out_in_different_places"
KB0017418,Installing Microsoft Project 2016 ,Windows Applications,"KCS, microsoft, project, 2016, install, computer, laptop"
KB0017417,Project 2016 Install Error,Windows Applications,"KCS, project, install, microsoft, error, 2016, 30015-6, (-1), "
KB0017663,"Peerceptiv - ""Your Peerceptiv Session Has Ended"" Error",eCampus,"KCS, peerceptiv, error, session, ended, ecampus, account, system, "
KB0016768,OAL - Cannot Log Out; Black Screen,OAL,"KCS, OAL cannot log out, log out of OAL, OAL black screen, blank OAL screen, OAL, OAL computer, log in computer, sign out, log out"
KB0020532,Logging into REDCap ,,"KCS, redcap, red_cap, redcap_logon, redcap_login, red_cap_logon, red_cap_login, redcap_log_in, log_into_redcap, log_into_red_cap, redcap_account, red_cap_account "
KB0016427,"TAMU Gmail - Unable to Access (""You do not have access to the email."")",Gmail,"Tamu email, tamu gmail, unable to access tamu email, unable to access tamu gmail, unable to access email"
KB0017510,VMware Horizon Client - Unable to Save to Local Machine on Mac,VOAL,"KCS, voal, vmware, unable to save to local, cant saveto local device, cant save local, horizon client, horizon, voal sharing, sharing settings"
KB0016620,Vizio SmartTV Setup,Resnet,"KCS, vizio, smarttv, smart, tv, dorm, resnet, setup, set, up, campus, interent, wifi, ethernet, connect, connecting, "
KB0017475,HDC Services - Data Tape Reading/Recovery,HDC Services,"KCS, help desk central, hdc, services, data tape, data recovery, data tape reading"
KB0017215,eCampus Video Does Not Load,eCampus,"KCS, ecampus, video, load, buffer, access, "
KB0017179,Office - Recovering Unsaved Word Document,Office,"KCS, office, office 2016, can't find word document, lost document, unsaved word document, recover document, recovering document"
KB0016949,Windows 10 - Create Installation USB,Windows 10 OS,"KCS, windows, windows 10, windows_10, OS install, os_install, reinstall os, reinstall_os, create installation media, create_installation_media, create installer USB, create_installer_usb, installer usb, installer_usb, usb"
KB0017426,Canvas - Uploading Profile Picture,Canvas,"KCS, canvas, tamuct, tamu central texas, upload picture, upload, profile, canvas profile, profile pic, profile picture"
KB0016495,Add New Contact to the Exchange Admin Center,Web Applications,"KCS, add, contact, exchange, admin, center, administrator, administrative, "
KB0017403,Howdy - Viewing Students Who Need Midterm Grades,Howdy,"KCS, howdy, howdy.tamu.edu, midterms, midterm grades, instructor, submit grades, submit midterms, submitting midterms, submitting midterm grades"
KB0018619,Exchange - Recover Deleted Emails,Exchange,"KCS, recover deleted emails, exchange emails, deleted emails, email recovery, email delete, exchange, email deletion, recover email, recover, delete, email"
KB0016388,Canvas - Discussion Board Access or Error,TAMUCT,"intermittent functionality on group discussion boards in canvas, cant access canvas, canvas error, tamuct, "
KB0015739,Windows 10 Mail App TAMU Email is 'out of date',Gmail,"KCS, Windows 10 Mail App, tamu windows, tamu email, out of date, windows 10 email, windows 10 account, tamu email, tamu windows "
KB0017646,Requesting a New Shared Mailbox,Exchange,"KCS, exchange, request, shared, mailbox, email, account, "
KB0016969,"TAMU Gmail - Unable to Access (""A mailbox couldn't be found for..."")",Gmail,"KCS, tamu gmail, tamu_gmail, can't log in, can't_log_in, cant log in, cant_log_in, cannot log in, cannot_log_in, gmail, google mail, email, google_mail"
KB0016979,WiFi Drivers Corrupted,Counter,"KCS, windows, wifi, update, 10, drivers, corrupted, not, working, uninstall, update, force, forced, apply, "
KB0019862,TAMUCT - Phishing Emails,,"KCS, phishing email, tamuct, suspicious email, phising, report suspicious email, Phising Emails"
KB0019194,Phishing Email Procedure,Security,"KCS, phishing_email, report_phishing_email, report_suspicious_email, report_sus_email, phishing_attempt, phishing_procedure"
KB0018489,Zoom - Cannot Log In ,Zoom,"KCS, zoom, zoom.com, zoom.us, tamu zoom, web conferencing, video conference, chat, video call, webconferencing, conference, account, can't enable account, can't activate account, cannot enable account, cannot activate account, please contact HDC to enable your zoom account, agrilife_zoom, zoom_agrilife"
KB0020251,HDC Call Sheet,Public Directory,"KCS, Directory, Admissions,  AI, Academic_Innovation,  Helpdesk,  Clinical_Emergency, Registrar, Financial_Aid, Human_Resources"
KB0018261,Software - VMware Horizon Client Installation,Software,"KCS, vmware horizon client, vmware, workstation image, re-install vmware, download vmware, no vmware, vmware horizon, horizon, workstation re-image, re image, vmhorizon"
KB0016943,VOAL - Unable to Install VMWare Horizon,VOAL,"KCS, VOAL, VMware, vmware horizon, vmware_horizon, horizon, vmware horizon client, vmware_horizon_client, desktop, desktop_client, desktop client"
KB0015806,Student Worker - Reset StarRez Account,Student Worker,"KCS, starRez,dorm,apartment,resident,web portal,RA"
KB0014957,New Student Conference Online Orientation,NetID,"KCS, NSC, New Student Orientation, new student conference, applicant, admitted student, new student, Howdy, online orientation, orientation, "
KB0017563,Duo - Trouble Authenticating or Connecting,Duo,"Duo_help, Duo_broken, duo, duo_blank, duo_white, blank_screen, white_screen, duo_authentication, duo_push, duo_call, duo_pushes, duo_calls, no_duo_call, no_duo_push, duo_error, duo_bomgar, duo_sso, sso_duo, duo_enroll, duo_enrollment, enroll_in_duo, duo_not_enrolled, not_enrolled_in_duo, duo_access, Duo_timeout, duo_time_out, time_out, duo_lock, duo_locked, locked_out_of_duo, authentication_failed, duo_authentication"
KB0015852,"""Failure to Authenticate"" error when logging into Bomgar with Duo",Duo,"KCS, duo failed to authenticate, duo, not receiving push, duo not working, bomgar duo, bomgar, fail to authenticate, duo doesn't push"
KB0014781,Guest Wifi Account for an Event,Networking,"KCS, requesting guest account, guest account, student requesting guest account, guest account for event"
KB0019601,Connecting to HSC Guest WiFi,WiFi,"KCS, hsc_wifi, hsc_guest, hsc_guest_wifi"
KB0018429,TAMU_WiFi - Wifi Calling on Campus,TAMULink-WPA,"TAMU_WiFi - Wifi Calling on Campus, Wifi calling, TAMU_WiFi calling, calling on wifi, calling on campus wifi, wifi calling on campus, wifi calls, calls with wifi,"
KB0015195,Voicemail Access Issues,Media and Telecommunications,"voicemail, centrex, voicemail, centrex_phone, phone, voice_mail, can't_access_voicemail, cannot_access_voicemail, telecom, tcom-request, can't access voicemail, cannot access voicemail, access voicemail, trouble accessing voicemail, locked out of voicemail, locked out of voicemail inbox, locked_out_of_voice_mail, Cannot_access_voicemail, locked_out_of_voicemail_inbox, can't sign in to voicemail inbox, cannot access voicemail inbox, can't access voicemail inbox, unable to access voicemail inbox, unable to view voicemail inbox, voicemail calls are dropping, voicemail call dropping, call dropping when calling voicemail, voicemail call drop, call drop voicemail"
KB0020271,Outlook Constant Password Prompt,Outlook,"KCS, Outlook_password, outlook_password_prompt, outlook_security_box, windows_security_box, outlook_password, outlook"
KB0015997,Official Transcript - Resend,Former Student,"redirect transcript, did not receive transcript, didnt get transcript, ordered transcript, email relays, didnt see transcript, official grades"
KB0015998,Registrar Office,Public Directory,"Registrar, official documents, transcript, reports, records request, name change, form, registration, degree, mailing records, time to mail records, Former student records request form,"
KB0016642,Account - Former Student Transcript,Former Student,"KCS, former student account, transcript order, cannot open transcript, transcript link expired, transcript download expired, decryption key expired, official transcript email, cannot see transcript, cannot view records"
KB0015391,Exchange mailbox transfer,Exchange,"exchange mailbox, department transfer, exchange transfer, exchange forwarding"
KB0019109,TAMHSC - Mapping Network Drives,TAMHSC Accounts,"KCS, map_network_drives_tamhsc, how_to_map_network_drive_tamhsc, tamhsc_map_network_drive, network_drive_mapping_tamhsc"
KB0019322,TAMHSC - Shared Drive Access,,"KCS, hsc_drive, tamhsc_drive, hsc_group, tamhsc_group, group_access, drive_access, drive_owner, group_owner, map_drive, remap_drive"
KB0018620,Zoom Webinars,Zoom,"KCS, zoom_webinar_price, cost_to_use_zoom, zoom, zoom_price, zoom_pricing, webinar_cost, price, meeting, cost, webinar, webex, 300_participants, 300+, hundreds_of_participants, more_participants"
KB0016299,Exchange - Directory Information ,Exchange,"Incorrect Email Exchange Directory Profile, exchange update, title change, personal website, department change, workday"
KB0018256,TAMUC Directory,Public Directory,"TAMUC Directory, Change TAMUC Directory, directory info, CITE, update directory, update TAMUC directory"
KB0017286,Unable to Display Director Information,Public Directory,"KCS, directory, information, info, name, public, ldap, entry"
KB0017276,Directory - Name Not Visible in Directory,Public Directory,"KCS, directory, name not visible, no name in directory, no directory info, directory information missing, name missing, public directory"
KB0016137,Skype user cannot communicate with business skype user.,Windows Applications,"KCS, skype, busniness, user, cannot, use, communicate, contact, "
KB0018821,TAMHSC - PrinterLogic,TAMHSC Accounts,"KCS, HSC_printer, hsc_printers, connect_to_printer, connect_to_a_printer, install_printer, install_hsc_printer, add_printer, add_hsc_printer, connect_hsc_printer,printer_logic, printerlogic"
KB0016010,Sports Pass,Public Directory,"renew sports pass, football pass, football ticket, student pass, 12th man, foundation"
KB0016148,Texas A&M Today,Web Applications,"KCS, old, website, remove, information, change, need, "
KB0015506,Change Gmail Header,Google Apps,"gmail header, gmail, change header, change name, gmail name, send as, "
KB0015219,How to Add a Shared Mailbox in TAMU Exchange,Exchange,"shared_mailbox, add_shared_mailbox, exchange, email, mail, tamu_exchange, shared_email, shared_folder, share_mail, share_email, exchange_mailbox"
